Product_ID,Product_Name,Category,Quantity_Available,Reorder_Level,Supplier_Name,Restock_Date,Unit_Price,Warehouse_Location,SKU
PROD000106,Laptop,Electronics,919,28,"Roberts, Benitez and Graham",15-04-2025,327.49,WH-20,SKU226101
PROD000107,Dress,Clothing,641,100,Mann-Parker,12-05-2025,124.51,WH-4,SKU530217
PROD000108,Jacket,Clothing,991,94,Day LLC,05-05-2025,194.97,WH-18,SKU691181
PROD000109,Smartphone,Electronics,585,89,Holmes-Alvarado,22-05-2025,182.1,WH-14,SKU334406
PROD000110,Tablet,Electronics,220,47,"Miller, Fletcher and Barber",29-04-2025,449.1,WH-15,SKU328145
PROD000111,Foundation,Beauty,804,84,Young Group,08-05-2025,106.84,WH-7,SKU629215
PROD000112,Shirt,Clothing,198,64,"Weaver, Sanders and Nash",15-04-2025,233.88,WH-13,SKU826820
PROD000113,Football,Sports,778,47,Sullivan Inc,07-06-2025,440.62,WH-17,SKU562199
PROD000114,Lamp,Home,56,57,Thomas-Jones,01-05-2025,493.88,WH-9,SKU938225
PROD000115,Jacket,Clothing,841,77,"Owens, Golden and Gilmore",30-05-2025,459.43,WH-10,SKU700360
PROD000116,Tennis Racket,Sports,18,47,"Christensen, Torres and Atkins",29-05-2025,43.6,WH-15,SKU309571
PROD000117,Shampoo,Beauty,895,49,Jones Inc,07-05-2025,369.16,WH-2,SKU582236
PROD000118,Lotion,Beauty,59,95,Macdonald-Gonzalez,01-05-2025,270.39,WH-13,SKU214016
PROD000119,Sofa,Home,149,93,"Bryant, Peterson and Hayes",07-05-2025,149.87,WH-16,SKU117097
PROD000120,Chair,Home,134,22,Davenport Inc,01-05-2025,484.3,WH-19,SKU575644
PROD000121,Shirt,Clothing,780,14,Cooper-Wright,29-05-2025,484.23,WH-12,SKU476937
PROD000122,Table,Home,247,22,Patton and Sons,13-04-2025,56.58,WH-12,SKU477736
PROD000123,Football,Sports,719,71,Dixon-Burnett,03-05-2025,284.93,WH-10,SKU766065
PROD000124,Camera,Electronics,182,80,Watson-Rosales,22-05-2025,141.08,WH-4,SKU395474
PROD000125,Bed,Home,55,40,Pena Group,06-05-2025,222.37,WH-10,SKU612475
PROD000126,Foundation,Beauty,96,24,Roy-Delgado,10-06-2025,394.86,WH-9,SKU935688
PROD000127,Dumbbells,Sports,334,35,Thomas-Fox,04-05-2025,49.75,WH-11,SKU352541
PROD000128,Jeans,Clothing,793,93,"Garcia, Sanchez and Norris",23-04-2025,296.9,WH-15,SKU869177
PROD000129,Tennis Racket,Sports,221,49,"Hernandez, Erickson and Green",16-04-2025,416.68,WH-7,SKU246697
PROD000130,Shirt,Clothing,345,58,Hartman Group,03-06-2025,422.06,WH-12,SKU725688
PROD000131,Yoga Mat,Sports,287,25,Ryan and Sons,18-05-2025,27.2,WH-18,SKU835084
PROD000132,Bed,Home,436,31,"Snyder, Roberts and Mcgrath",11-05-2025,360.12,WH-11,SKU155952
PROD000133,Tennis Racket,Sports,816,72,Webster-Smith,29-04-2025,442.53,WH-17,SKU572275
PROD000134,Table,Home,47,62,Casey-Davis,27-05-2025,336.21,WH-9,SKU726464
PROD000135,Lotion,Beauty,626,57,Warner-Solomon,19-04-2025,231.08,WH-16,SKU584378
PROD000136,Tennis Racket,Sports,631,93,"Graham, Young and Ruiz",19-05-2025,412.41,WH-1,SKU882697
PROD000137,Dumbbells,Sports,87,49,Houston-Ford,04-05-2025,53.88,WH-10,SKU758926
PROD000138,Headphones,Electronics,688,72,Stewart-Benson,09-05-2025,244.88,WH-18,SKU248440
PROD000139,Shampoo,Beauty,810,10,Kirby-Lopez,20-05-2025,270.73,WH-20,SKU447353
PROD000140,Laptop,Electronics,454,16,Schaefer and Sons,20-05-2025,213.07,WH-7,SKU169273
PROD000141,Sofa,Home,888,36,Olson-Dixon,06-05-2025,389.05,WH-12,SKU871609
PROD000142,Perfume,Beauty,639,93,Sanchez and Sons,13-04-2025,64.36,WH-12,SKU812291
PROD000143,Chair,Home,564,81,Whitaker-Allison,22-05-2025,253.58,WH-8,SKU488960
PROD000144,Basketball,Sports,194,16,"Adams, Horne and Raymond",29-04-2025,430.74,WH-16,SKU933928
PROD000145,Basketball,Sports,882,71,Black Inc,03-05-2025,61.21,WH-6,SKU397222
PROD000146,Yoga Mat,Sports,926,84,Thomas Inc,19-05-2025,350,WH-19,SKU570868
PROD000147,Dress,Clothing,770,76,Norris-Dean,01-06-2025,56.28,WH-12,SKU859849
PROD000148,Sneakers,Clothing,310,29,"Holloway, Hendrix and Rodriguez",01-05-2025,243.75,WH-15,SKU954659
PROD000149,Shirt,Clothing,217,74,Robinson and Sons,13-04-2025,333.65,WH-4,SKU109837
PROD000150,Shampoo,Beauty,54,74,"White, Parker and Moore",06-06-2025,482.18,WH-18,SKU540746
PROD000151,Sofa,Home,400,52,"Herrera, Williams and Green",30-05-2025,416.29,WH-4,SKU929647
PROD000152,Jacket,Clothing,522,53,"Jones, Figueroa and Gaines",09-06-2025,451.17,WH-7,SKU266224
PROD000153,Tennis Racket,Sports,342,57,"Mercado, Collins and Mcguire",09-05-2025,328.91,WH-12,SKU118181
PROD000154,Dress,Clothing,34,74,"White, Barker and Johnson",22-05-2025,190.5,WH-13,SKU962337
PROD000155,Table,Home,97,48,Harris PLC,25-04-2025,472.15,WH-13,SKU511964
PROD000156,Perfume,Beauty,695,27,Townsend-Young,13-04-2025,103.49,WH-6,SKU670164
PROD000157,Lotion,Beauty,703,41,"Harrell, Singh and Munoz",07-06-2025,287.86,WH-19,SKU511572
PROD000158,Headphones,Electronics,395,17,Richardson Group,01-06-2025,246.84,WH-20,SKU188018
PROD000159,Lotion,Beauty,760,26,Moore-Ruiz,10-05-2025,344.13,WH-2,SKU352374
PROD000160,Dress,Clothing,810,93,Roberts Inc,13-05-2025,310.22,WH-14,SKU660132
PROD000161,Camera,Electronics,372,49,Singleton Ltd,26-05-2025,186.16,WH-8,SKU545942
PROD000162,Shampoo,Beauty,475,25,Morrow PLC,25-04-2025,172.16,WH-12,SKU458020
PROD000163,Sneakers,Clothing,605,25,Shepherd Group,07-06-2025,68.17,WH-15,SKU796199
PROD000164,Laptop,Electronics,739,78,Poole-Miller,02-05-2025,96.7,WH-8,SKU463206
PROD000165,Table,Home,198,95,Norris Ltd,08-05-2025,493.86,WH-2,SKU493917
PROD000166,Dress,Clothing,899,61,Murphy-Lopez,03-06-2025,107.07,WH-3,SKU125197
PROD000167,Basketball,Sports,754,95,Molina and Sons,07-06-2025,327.03,WH-7,SKU359157
PROD000168,Shampoo,Beauty,923,23,Hill-Cain,30-04-2025,331.55,WH-7,SKU250348
PROD000169,Perfume,Beauty,875,33,"Singleton, Henry and Powers",06-06-2025,243.18,WH-14,SKU655001
PROD000170,Table,Home,503,60,Rivera-Cruz,25-05-2025,207.52,WH-5,SKU975262
PROD000171,Smartphone,Electronics,804,32,Marshall-Turner,02-06-2025,184.36,WH-5,SKU369619
PROD000172,Jeans,Clothing,740,81,Matthews-Adams,01-05-2025,196.46,WH-4,SKU127004
PROD000173,Sneakers,Clothing,19,89,"Copeland, Thornton and Grant",25-05-2025,218.55,WH-4,SKU738582
PROD000174,Tennis Racket,Sports,130,87,Richardson Ltd,02-06-2025,244.23,WH-12,SKU285675
PROD000175,Lipstick,Beauty,662,39,"Bell, Trujillo and Dunn",27-05-2025,372.91,WH-6,SKU288187
PROD000176,Shirt,Clothing,441,87,Nelson PLC,16-05-2025,293.61,WH-5,SKU327573
PROD000177,Perfume,Beauty,542,15,Mcdonald LLC,02-06-2025,178.36,WH-1,SKU112088
PROD000178,Perfume,Beauty,358,21,White-Clark,22-05-2025,340.76,WH-13,SKU204919
PROD000179,Sneakers,Clothing,611,93,Martinez-Fowler,02-05-2025,88.74,WH-12,SKU807776
PROD000180,Bed,Home,705,25,Smith-Hernandez,25-05-2025,70.77,WH-5,SKU262342
PROD000181,Shampoo,Beauty,141,51,"Wang, Hicks and Turner",05-05-2025,447.05,WH-4,SKU105657
PROD000182,Headphones,Electronics,809,86,"Armstrong, Campos and Rich",09-05-2025,147.48,WH-11,SKU403622
PROD000183,Tablet,Electronics,72,52,Marks LLC,19-05-2025,74.87,WH-8,SKU974718
PROD000184,Headphones,Electronics,170,87,Kirby-Thomas,23-05-2025,403.37,WH-5,SKU832482
PROD000185,Bed,Home,894,95,"Brown, Rodriguez and Webb",14-05-2025,193.4,WH-19,SKU389111
PROD000186,Football,Sports,612,33,Evans-Smith,20-05-2025,113.24,WH-17,SKU696216
PROD000187,Basketball,Sports,119,24,Alexander-Morales,31-05-2025,91.7,WH-9,SKU229772
PROD000188,Lamp,Home,752,80,Brandt-Fisher,14-04-2025,306.15,WH-3,SKU749327
PROD000189,Yoga Mat,Sports,406,48,Baker-Gray,03-06-2025,263.34,WH-20,SKU950495
PROD000190,Dumbbells,Sports,574,92,Wright-Hall,10-06-2025,108.33,WH-10,SKU371048
PROD000191,Dumbbells,Sports,874,48,Salazar-Mcmillan,17-04-2025,335.26,WH-20,SKU741697
PROD000192,Smartphone,Electronics,455,39,Waller-Howard,29-05-2025,145.06,WH-16,SKU204147
PROD000193,Perfume,Beauty,997,28,Alvarado-Cross,23-05-2025,62.19,WH-4,SKU629909
PROD000194,Tablet,Electronics,780,15,Baker Inc,19-05-2025,376.21,WH-10,SKU496415
PROD000195,Bed,Home,716,13,Castaneda PLC,26-05-2025,279.22,WH-14,SKU601168
PROD000196,Tablet,Electronics,498,90,Paul Ltd,04-06-2025,180.58,WH-1,SKU368649
PROD000197,Shirt,Clothing,49,65,"Long, Jordan and Morrison",11-06-2025,421.3,WH-1,SKU408928
PROD000198,Dress,Clothing,58,94,"Holder, Lopez and Crane",30-05-2025,360.28,WH-5,SKU267828
PROD000199,Sofa,Home,583,83,"Holmes, Martin and Flowers",28-04-2025,469.33,WH-12,SKU705800
PROD000200,Sneakers,Clothing,543,27,Rojas LLC,17-04-2025,486.86,WH-1,SKU886031
PROD000201,Shampoo,Beauty,633,79,Moore Ltd,23-04-2025,10.07,WH-16,SKU651229
PROD000202,Camera,Electronics,970,55,"Rivera, Leon and Gibson",29-04-2025,184.1,WH-18,SKU631377
PROD000203,Dress,Clothing,662,51,King-Sanchez,13-05-2025,389.81,WH-14,SKU140868
PROD000204,Bed,Home,704,40,Herrera-Rodriguez,27-05-2025,248.37,WH-15,SKU442208
PROD000205,Perfume,Beauty,700,42,"Davis, Carter and Thomas",11-06-2025,257.06,WH-5,SKU968154
PROD000206,Shampoo,Beauty,448,16,"Smith, Morris and Wilson",15-04-2025,443.04,WH-10,SKU454186
PROD000207,Jeans,Clothing,804,72,"Esparza, Khan and Bolton",24-04-2025,13.51,WH-4,SKU994757
PROD000208,Bed,Home,481,25,Brady-Stewart,21-04-2025,185.37,WH-10,SKU637483
PROD000209,Shirt,Clothing,480,61,Cobb-Porter,24-04-2025,435.09,WH-8,SKU529767
PROD000210,Football,Sports,231,74,"Johnson, Bates and Torres",29-05-2025,362.46,WH-4,SKU460939
PROD000211,Table,Home,802,11,Parks-Alvarez,23-05-2025,361.6,WH-5,SKU809305
PROD000212,Camera,Electronics,940,43,Hernandez LLC,15-05-2025,102.72,WH-19,SKU352114
PROD000213,Jeans,Clothing,840,27,Keith and Sons,08-05-2025,460.27,WH-8,SKU839697
PROD000214,Table,Home,778,39,"Sellers, Wallace and Collins",20-04-2025,258.5,WH-16,SKU416817
PROD000215,Table,Home,948,79,Arnold-Valenzuela,07-06-2025,103.23,WH-10,SKU255372
PROD000216,Perfume,Beauty,590,28,Kim-Sparks,11-06-2025,496.56,WH-12,SKU311479
PROD000217,Foundation,Beauty,394,26,West PLC,23-04-2025,497.04,WH-16,SKU263478
PROD000218,Tablet,Electronics,979,45,Stuart Ltd,08-06-2025,305.94,WH-4,SKU462023
PROD000219,Chair,Home,538,87,Barrera-Wilson,21-04-2025,456.51,WH-6,SKU561847
PROD000220,Tablet,Electronics,930,71,"Murray, Sheppard and Smith",10-05-2025,451.19,WH-7,SKU618703
PROD000221,Tablet,Electronics,414,20,Payne Ltd,30-04-2025,403.63,WH-4,SKU414330
PROD000222,Shampoo,Beauty,479,57,"Henry, Randolph and Morrison",07-05-2025,203.16,WH-19,SKU930649
PROD000223,Bed,Home,623,26,"Thomas, Rowe and Taylor",06-05-2025,371.33,WH-12,SKU764901
PROD000224,Chair,Home,237,60,Crawford LLC,29-04-2025,41.84,WH-1,SKU510661
PROD000225,Laptop,Electronics,171,93,Jones LLC,11-05-2025,396.29,WH-11,SKU355205
PROD000226,Shampoo,Beauty,108,16,Jones-Miller,06-06-2025,451.77,WH-20,SKU696407
PROD000227,Camera,Electronics,570,93,"Jackson, Lee and Wood",23-05-2025,496.17,WH-1,SKU585036
PROD000228,Perfume,Beauty,188,100,Carpenter Group,11-05-2025,194.47,WH-10,SKU486499
PROD000229,Foundation,Beauty,734,61,"Mckinney, Rosales and Lynch",23-05-2025,249.16,WH-6,SKU278316
PROD000230,Basketball,Sports,754,27,"Davidson, Fisher and Kelly",14-04-2025,345.94,WH-15,SKU259092
PROD000231,Football,Sports,278,77,"Barker, Wilson and Wood",26-04-2025,290.41,WH-6,SKU759837
PROD000232,Bed,Home,311,92,Higgins-Evans,25-04-2025,256.39,WH-4,SKU188954
PROD000233,Dress,Clothing,347,83,House Group,10-05-2025,118.45,WH-1,SKU881518
PROD000234,Camera,Electronics,501,48,"Brooks, Bonilla and Smith",03-06-2025,53.99,WH-8,SKU920084
PROD000235,Foundation,Beauty,552,72,Smith-Brewer,16-05-2025,486.39,WH-18,SKU414614
PROD000236,Headphones,Electronics,86,82,"Garcia, Huynh and Galvan",02-05-2025,188.98,WH-5,SKU964674
PROD000237,Shampoo,Beauty,533,36,Paul-Carter,18-04-2025,294.88,WH-13,SKU640998
PROD000238,Laptop,Electronics,228,68,Collins PLC,23-04-2025,212.46,WH-1,SKU126131
PROD000239,Foundation,Beauty,698,84,Jones-Smith,23-04-2025,163.37,WH-5,SKU924050
PROD000240,Table,Home,723,17,Hawkins-Figueroa,17-05-2025,81.84,WH-5,SKU441305
PROD000241,Bed,Home,980,22,"Knight, Rocha and Peck",08-05-2025,159.04,WH-15,SKU797829
PROD000242,Shirt,Clothing,391,41,"Taylor, Parker and Ellis",20-04-2025,298.96,WH-11,SKU426277
PROD000243,Football,Sports,344,34,Lopez Ltd,31-05-2025,289.55,WH-16,SKU833325
PROD000244,Laptop,Electronics,662,17,"Parker, Torres and Payne",11-06-2025,250.77,WH-4,SKU995858
PROD000245,Headphones,Electronics,374,61,Curtis Ltd,01-05-2025,337.36,WH-16,SKU226663
PROD000246,Shirt,Clothing,644,24,"Stewart, Hill and Ray",24-05-2025,445.98,WH-19,SKU188282
PROD000247,Lipstick,Beauty,681,57,Sexton-Perry,24-05-2025,85.95,WH-9,SKU388904
PROD000248,Camera,Electronics,90,43,"Gonzalez, Hernandez and Rose",23-05-2025,140.23,WH-12,SKU974640
PROD000249,Sofa,Home,406,78,Sandoval Ltd,19-05-2025,79.23,WH-18,SKU691453
PROD000250,Basketball,Sports,506,26,"Johnson, Pennington and Williams",16-04-2025,494.08,WH-16,SKU426817
PROD000251,Camera,Electronics,103,61,Barrera-Curtis,21-04-2025,344.82,WH-7,SKU490632
PROD000252,Lipstick,Beauty,182,14,"Alexander, Rodriguez and Vance",23-04-2025,49.18,WH-2,SKU988490
PROD000253,Lotion,Beauty,554,99,Burke-Fischer,19-05-2025,313.42,WH-20,SKU778508
PROD000254,Chair,Home,292,20,Mccormick-Shaw,05-05-2025,84.92,WH-11,SKU262916
PROD000255,Perfume,Beauty,972,85,Singleton-Rosales,13-04-2025,28.72,WH-10,SKU145986
PROD000256,Lipstick,Beauty,576,41,"Kennedy, Williams and Lynch",09-06-2025,478.97,WH-9,SKU733705
PROD000257,Laptop,Electronics,29,27,Collins LLC,28-05-2025,473.17,WH-4,SKU607079
PROD000258,Lipstick,Beauty,109,78,"Smith, Barnes and Johnson",05-05-2025,249.14,WH-10,SKU898976
PROD000259,Dumbbells,Sports,703,46,Morse LLC,27-05-2025,419.42,WH-5,SKU220365
PROD000260,Football,Sports,104,66,Lewis LLC,25-04-2025,126.11,WH-14,SKU704696
PROD000261,Foundation,Beauty,161,51,Morrow and Sons,17-05-2025,300.43,WH-1,SKU533849
PROD000262,Table,Home,96,19,"Dawson, Thompson and Rollins",13-04-2025,324.86,WH-3,SKU122366
PROD000263,Tennis Racket,Sports,142,53,Brock Ltd,10-06-2025,184.98,WH-4,SKU728429
PROD000264,Bed,Home,558,80,Pena-Marshall,01-06-2025,130.35,WH-17,SKU849059
PROD000265,Foundation,Beauty,379,44,Anderson and Sons,30-05-2025,382.45,WH-14,SKU450160
